C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.546300	0.250432	-1.349132	1.276246	-1.150156	-0.550915	-0.248374	1.340425	-1.260119	1.143890	0.546222	0.250432	-1.349027	1.277636	-1.152208	-0.551010	-0.248342	1.339775	-1.262458	1.146319	-0.023003	-0.013397	0.029795	0.577956	-0.532712	-0.063780	-0.009131	-0.237799	-0.503148	0.393346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.534927	0.250878	-1.358792	1.258909	-1.126839	-0.543162	-0.235679	1.317860	-1.275053	1.119978	0.546381	0.250442	-1.348907	1.282140	-1.153783	-0.551345	-0.248313	1.337376	-1.267110	1.149797	0.029106	0.005640	-0.035406	0.473062	-0.356869	-0.051743	0.008393	-0.247116	-0.451623	0.227775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.526302	0.250344	-1.366330	1.250381	-1.112371	-0.538577	-0.229934	1.305096	-1.294456	1.108713	0.546438	0.250468	-1.347865	1.291983	-1.159017	-0.551411	-0.248162	1.332922	-1.273348	1.151317	-0.038965	0.015686	-0.066354	0.574241	-0.154334	0.012274	0.014798	-0.593522	-0.823350	-0.081912	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.518790	0.251269	-1.368034	1.248768	-1.104212	-0.535539	-0.229305	1.296314	-1.304268	1.108487	0.542765	0.250457	-1.347850	1.300762	-1.160549	-0.550916	-0.246928	1.332031	-1.283053	1.151451	-0.206295	-0.011227	0.007323	0.511076	0.002015	-0.051117	0.067783	-0.628162	-0.825627	0.054622	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.515596	0.250108	-1.365911	1.251894	-1.094273	-0.536131	-0.230571	1.289500	-1.302712	1.122524	0.539147	0.250398	-1.348065	1.307146	-1.158941	-0.550090	-0.245389	1.322062	-1.298783	1.150896	-0.425427	-0.012755	-0.100467	0.295382	0.279372	0.029785	0.113794	-0.656054	-0.982888	-0.092247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.513979	0.248764	-1.362268	1.255253	-1.087205	-0.537920	-0.230363	1.285748	-1.299671	1.133226	0.533867	0.250225	-1.349538	1.311452	-1.155614	-0.548471	-0.243263	1.311902	-1.306994	1.148798	-0.328693	-0.035009	-0.097288	0.106310	0.216377	0.107667	0.106763	-0.466913	-0.879966	-0.075528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.512287	0.250700	-1.356405	1.256135	-1.076728	-0.541303	-0.228016	1.284253	-1.305532	1.139721	0.529201	0.249738	-1.350196	1.314349	-1.151193	-0.546402	-0.241796	1.304490	-1.319274	1.149687	-0.357405	-0.061661	-0.023687	0.240947	0.370601	0.122435	0.066510	-0.458468	-0.468367	0.142501	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.511115	0.250672	-1.354992	1.261935	-1.063691	-0.542404	-0.227528	1.281433	-1.312028	1.134753	0.526208	0.249107	-1.350280	1.314928	-1.148394	-0.544558	-0.240937	1.303007	-1.321730	1.150907	-0.311421	-0.041062	0.001121	0.254410	0.399982	0.144850	0.095055	-0.457623	-0.427207	0.223628	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.508746	0.250458	-1.355155	1.269759	-1.053398	-0.542144	-0.226142	1.276385	-1.315220	1.127334	0.521102	0.248836	-1.350078	1.319745	-1.143109	-0.543438	-0.239368	1.297428	-1.328547	1.152896	-0.278906	-0.015738	0.000112	0.144089	0.137708	0.031933	0.051381	-0.352850	-0.293974	-0.043940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
0.506676	0.251315	-1.352703	1.271905	-1.055533	-0.542163	-0.227627	1.274046	-1.317462	1.129016	0.516712	0.248741	-1.348608	1.324538	-1.137423	-0.543214	-0.238182	1.289454	-1.333787	1.152664	-0.251227	-0.013206	0.041887	0.363372	0.408099	0.013662	0.070278	-0.174870	-0.301589	-0.217262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
