l_f	r_f	l_hyaw_out	l_hrol_out	l_hpit_out	l_knee_out	l_apit_out	r_hyaw_out	r_hrol_out	r_hpit_out	r_knee_out	r_apit_out	vx_cmd	yr_cmd	rol	pit	rol_rate	pit_rate	yaw_rate	C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	E_l_hyaw	E_l_hrol	E_l_hpit	E_l_knee	E_l_apit	E_r_hyaw	E_r_hrol	E_r_hpit	E_r_knee	E_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	l_sin	r_sin	l_cos	r_cos	l_pf	r_pf	vx_cmd	yr_cmd	rol	pit	rol_rate	pit_rate	yaw_rate	C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	E_l_hyaw	E_l_hrol	E_l_hpit	E_l_knee	E_l_apit	E_r_hyaw	E_r_hrol	E_r_hpit	E_r_knee	E_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	l_sin	r_sin	l_cos	r_cos	l_pf	r_pf	vx_cmd	yr_cmd	rol	pit	rol_rate	pit_rate	yaw_rate	C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	E_l_hyaw	E_l_hrol	E_l_hpit	E_l_knee	E_l_apit	E_r_hyaw	E_r_hrol	E_r_hpit	E_r_knee	E_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	l_sin	r_sin	l_cos	r_cos	l_pf	r_pf	
2.039855	2.516063	-0.711967	-0.037570	-0.262099	-1.651284	1.790206	0.324560	0.823259	-1.479183	-1.061596	-2.762314	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003718	0.000434	0.000873	0.076629	-0.050408	-0.000919	0.001634	-0.009623	-0.060421	0.044110	-0.003204	-0.001366	0.004824	-0.006251	-0.005435	0.000800	-0.000582	-0.005037	0.000572	0.000643	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003728	0.000426	0.000855	0.076680	-0.050394	-0.000914	0.001634	-0.009620	-0.060402	0.044315	-0.002065	-0.002928	-0.001611	-0.001323	-0.002288	-0.000967	0.000174	-0.003993	-0.004130	-0.000983	0.000009	0.000008	0.000018	-0.000051	-0.000014	-0.000005	-0.000000	-0.000003	-0.000019	-0.000204	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003778	0.000432	0.000973	0.077636	-0.052208	-0.001010	0.001658	-0.010225	-0.062458	0.046319	-0.002300	-0.001340	0.002980	0.057796	-0.053271	-0.006378	-0.000913	-0.023780	-0.050315	0.039335	0.000078	-0.000000	-0.000104	-0.001390	0.002052	0.000096	-0.000033	0.000650	0.002339	-0.002429	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.942051	2.558343	-0.720803	0.028294	-0.612227	-1.098727	1.477751	0.491311	0.804597	-1.430075	-0.946448	-1.515397	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003728	0.000426	0.000855	0.076680	-0.050394	-0.000914	0.001634	-0.009620	-0.060402	0.044315	-0.002065	-0.002928	-0.001611	-0.001323	-0.002288	-0.000967	0.000174	-0.003993	-0.004130	-0.000983	0.000009	0.000008	0.000018	-0.000051	-0.000014	-0.000005	-0.000000	-0.000003	-0.000019	-0.000204	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003778	0.000432	0.000973	0.077636	-0.052208	-0.001010	0.001658	-0.010225	-0.062458	0.046319	-0.002300	-0.001340	0.002980	0.057796	-0.053271	-0.006378	-0.000913	-0.023780	-0.050315	0.039335	0.000078	-0.000000	-0.000104	-0.001390	0.002052	0.000096	-0.000033	0.000650	0.002339	-0.002429	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003619	0.000442	0.001093	0.082140	-0.053783	-0.001345	0.001687	-0.012624	-0.067110	0.049797	0.002911	0.000564	-0.003541	0.047306	-0.035687	-0.005174	0.000839	-0.024712	-0.045162	0.022777	-0.000081	-0.000010	-0.000225	-0.005894	0.003627	0.000430	-0.000062	0.003049	0.006991	-0.005907	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
1.906183	2.641241	-0.608785	-0.037755	-0.532115	-0.601926	1.021219	0.323619	0.405529	-0.900984	-1.369564	-0.795179	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003778	0.000432	0.000973	0.077636	-0.052208	-0.001010	0.001658	-0.010225	-0.062458	0.046319	-0.002300	-0.001340	0.002980	0.057796	-0.053271	-0.006378	-0.000913	-0.023780	-0.050315	0.039335	0.000078	-0.000000	-0.000104	-0.001390	0.002052	0.000096	-0.000033	0.000650	0.002339	-0.002429	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003619	0.000442	0.001093	0.082140	-0.053783	-0.001345	0.001687	-0.012624	-0.067110	0.049797	0.002911	0.000564	-0.003541	0.047306	-0.035687	-0.005174	0.000839	-0.024712	-0.045162	0.022777	-0.000081	-0.000010	-0.000225	-0.005894	0.003627	0.000430	-0.000062	0.003049	0.006991	-0.005907	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003562	0.000468	0.002135	0.091983	-0.059017	-0.001411	0.001838	-0.017079	-0.073348	0.051317	-0.003896	0.001569	-0.006635	0.057424	-0.015433	0.001227	0.001480	-0.059352	-0.082335	-0.008191	-0.011511	0.000411	-0.010927	-0.033074	0.032179	0.008249	0.012483	-0.015062	-0.001706	-0.031338	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
2.015145	2.679928	-0.502209	0.061875	-0.113923	-0.107840	0.545497	0.203154	0.042016	-0.587056	-0.655980	-0.015145	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003619	0.000442	0.001093	0.082140	-0.053783	-0.001345	0.001687	-0.012624	-0.067110	0.049797	0.002911	0.000564	-0.003541	0.047306	-0.035687	-0.005174	0.000839	-0.024712	-0.045162	0.022777	-0.000081	-0.000010	-0.000225	-0.005894	0.003627	0.000430	-0.000062	0.003049	0.006991	-0.005907	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003562	0.000468	0.002135	0.091983	-0.059017	-0.001411	0.001838	-0.017079	-0.073348	0.051317	-0.003896	0.001569	-0.006635	0.057424	-0.015433	0.001227	0.001480	-0.059352	-0.082335	-0.008191	-0.011511	0.000411	-0.010927	-0.033074	0.032179	0.008249	0.012483	-0.015062	-0.001706	-0.031338	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007235	0.000457	0.002150	0.100762	-0.060549	-0.000916	0.003072	-0.017969	-0.083053	0.051451	-0.020630	-0.001123	0.000732	0.051108	0.000201	-0.005112	0.006778	-0.062816	-0.082563	0.005462	-0.016463	-0.000113	-0.018480	-0.050380	0.048178	0.012338	0.016994	-0.026935	-0.011403	-0.042738	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
2.080352	2.717754	-0.183564	-0.066727	0.122058	0.179624	0.571221	-0.034072	-0.072777	-0.391669	0.089441	0.806860	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003562	0.000468	0.002135	0.091983	-0.059017	-0.001411	0.001838	-0.017079	-0.073348	0.051317	-0.003896	0.001569	-0.006635	0.057424	-0.015433	0.001227	0.001480	-0.059352	-0.082335	-0.008191	-0.011511	0.000411	-0.010927	-0.033074	0.032179	0.008249	0.012483	-0.015062	-0.001706	-0.031338	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007235	0.000457	0.002150	0.100762	-0.060549	-0.000916	0.003072	-0.017969	-0.083053	0.051451	-0.020630	-0.001123	0.000732	0.051108	0.000201	-0.005112	0.006778	-0.062816	-0.082563	0.005462	-0.016463	-0.000113	-0.018480	-0.050380	0.048178	0.012338	0.016994	-0.026935	-0.011403	-0.042738	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010853	0.000398	0.001935	0.107146	-0.058941	-0.000090	0.004611	-0.027938	-0.098783	0.050896	-0.042543	-0.001275	-0.010047	0.029538	0.027937	0.002978	0.011379	-0.065605	-0.098289	-0.009225	-0.020357	0.000871	-0.019969	-0.058377	0.054729	0.014551	0.016083	-0.025748	-0.005485	-0.042410	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
2.125568	2.720611	-0.125762	-0.104520	0.283232	0.261145	0.549543	-0.139021	0.016183	-0.291746	0.236421	0.831959	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007235	0.000457	0.002150	0.100762	-0.060549	-0.000916	0.003072	-0.017969	-0.083053	0.051451	-0.020630	-0.001123	0.000732	0.051108	0.000201	-0.005112	0.006778	-0.062816	-0.082563	0.005462	-0.016463	-0.000113	-0.018480	-0.050380	0.048178	0.012338	0.016994	-0.026935	-0.011403	-0.042738	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010853	0.000398	0.001935	0.107146	-0.058941	-0.000090	0.004611	-0.027938	-0.098783	0.050896	-0.042543	-0.001275	-0.010047	0.029538	0.027937	0.002978	0.011379	-0.065605	-0.098289	-0.009225	-0.020357	0.000871	-0.019969	-0.058377	0.054729	0.014551	0.016083	-0.025748	-0.005485	-0.042410	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016133	0.000225	0.000462	0.111452	-0.055614	0.001529	0.006737	-0.038098	-0.106994	0.048798	-0.032869	-0.003501	-0.009729	0.010631	0.021638	0.010767	0.010676	-0.046691	-0.087997	-0.007553	-0.018271	-0.000116	-0.016373	-0.059558	0.061341	0.012339	0.012692	-0.022401	0.004282	-0.026274	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
2.198577	2.684150	-0.114969	0.131616	0.398551	0.060017	0.712245	-0.229981	0.159584	-0.101593	-0.398439	0.441568	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010853	0.000398	0.001935	0.107146	-0.058941	-0.000090	0.004611	-0.027938	-0.098783	0.050896	-0.042543	-0.001275	-0.010047	0.029538	0.027937	0.002978	0.011379	-0.065605	-0.098289	-0.009225	-0.020357	0.000871	-0.019969	-0.058377	0.054729	0.014551	0.016083	-0.025748	-0.005485	-0.042410	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016133	0.000225	0.000462	0.111452	-0.055614	0.001529	0.006737	-0.038098	-0.106994	0.048798	-0.032869	-0.003501	-0.009729	0.010631	0.021638	0.010767	0.010676	-0.046691	-0.087997	-0.007553	-0.018271	-0.000116	-0.016373	-0.059558	0.061341	0.012339	0.012692	-0.022401	0.004282	-0.026274	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020799	-0.000262	-0.000196	0.114349	-0.051193	0.003598	0.008204	-0.045510	-0.119274	0.049687	-0.035741	-0.006166	-0.002369	0.024095	0.037060	0.012243	0.006651	-0.045847	-0.046837	0.014250	-0.015222	-0.000974	-0.012071	-0.059096	0.063988	0.008482	0.011433	-0.018742	0.019603	-0.016461	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	
2.096405	2.697668	-0.074152	-0.001792	0.089341	0.366642	0.824220	-0.069636	0.030802	-0.178300	-0.410694	-0.314127	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016133	0.000225	0.000462	0.111452	-0.055614	0.001529	0.006737	-0.038098	-0.106994	0.048798	-0.032869	-0.003501	-0.009729	0.010631	0.021638	0.010767	0.010676	-0.046691	-0.087997	-0.007553	-0.018271	-0.000116	-0.016373	-0.059558	0.061341	0.012339	0.012692	-0.022401	0.004282	-0.026274	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020799	-0.000262	-0.000196	0.114349	-0.051193	0.003598	0.008204	-0.045510	-0.119274	0.049687	-0.035741	-0.006166	-0.002369	0.024095	0.037060	0.012243	0.006651	-0.045847	-0.046837	0.014250	-0.015222	-0.000974	-0.012071	-0.059096	0.063988	0.008482	0.011433	-0.018742	0.019603	-0.016461	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.023792	-0.000893	-0.000280	0.114928	-0.048394	0.005442	0.009063	-0.046993	-0.121730	0.050907	-0.031142	-0.004106	0.000112	0.025441	0.039998	0.014485	0.009506	-0.045762	-0.042721	0.022363	-0.013920	0.001593	-0.006125	-0.058793	0.071666	0.003256	0.012921	-0.018754	0.016198	-0.011186	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	
2.011964	2.737406	-0.119848	-0.010821	-0.008230	0.395867	0.520744	0.013155	0.070133	-0.255386	-0.161488	-0.375354	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020799	-0.000262	-0.000196	0.114349	-0.051193	0.003598	0.008204	-0.045510	-0.119274	0.049687	-0.035741	-0.006166	-0.002369	0.024095	0.037060	0.012243	0.006651	-0.045847	-0.046837	0.014250	-0.015222	-0.000974	-0.012071	-0.059096	0.063988	0.008482	0.011433	-0.018742	0.019603	-0.016461	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.023792	-0.000893	-0.000280	0.114928	-0.048394	0.005442	0.009063	-0.046993	-0.121730	0.050907	-0.031142	-0.004106	0.000112	0.025441	0.039998	0.014485	0.009506	-0.045762	-0.042721	0.022363	-0.013920	0.001593	-0.006125	-0.058793	0.071666	0.003256	0.012921	-0.018754	0.016198	-0.011186	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028898	-0.001164	-0.000078	0.119745	-0.043109	0.006562	0.010632	-0.052572	-0.128547	0.052896	-0.027891	-0.001574	0.000011	0.014409	0.013771	0.003193	0.005138	-0.035285	-0.029397	-0.004394	-0.009987	0.001836	-0.004914	-0.057811	0.079418	0.001034	0.011839	-0.015995	0.016519	-0.018143	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	
2.006186	2.738058	-0.165204	0.068416	0.195712	0.171291	-0.170377	-0.001542	-0.118538	-0.186738	-0.178944	0.134271	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.023792	-0.000893	-0.000280	0.114928	-0.048394	0.005442	0.009063	-0.046993	-0.121730	0.050907	-0.031142	-0.004106	0.000112	0.025441	0.039998	0.014485	0.009506	-0.045762	-0.042721	0.022363	-0.013920	0.001593	-0.006125	-0.058793	0.071666	0.003256	0.012921	-0.018754	0.016198	-0.011186	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028898	-0.001164	-0.000078	0.119745	-0.043109	0.006562	0.010632	-0.052572	-0.128547	0.052896	-0.027891	-0.001574	0.000011	0.014409	0.013771	0.003193	0.005138	-0.035285	-0.029397	-0.004394	-0.009987	0.001836	-0.004914	-0.057811	0.079418	0.001034	0.011839	-0.015995	0.016519	-0.018143	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.033288	-0.001259	0.001392	0.124538	-0.037423	0.006786	0.011818	-0.060546	-0.133787	0.052664	-0.025123	-0.001321	0.004189	0.036337	0.040810	0.001366	0.007028	-0.017487	-0.030159	-0.021726	-0.007966	0.001717	-0.006546	-0.054779	0.084025	0.001070	0.012039	-0.013069	0.018567	-0.025330	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	
